stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Oligodendrocyte,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,16.35,0,0,0,0
21Day,0,0,0,0,0,0,0,4.02,0,0,0,0
3Month,0.32,0.32,1.6,0,0.32,0.64,0.96,8.64,0.32,0.32,0.32,0.32
22Month,0,0.55,9.84,0.55,0,0,0.55,9.84,0.55,0,0,0
