stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,4.09,4.09,347.34,4.09,0,0,12.26,0,0,0,0,0,0
72hpf,0,0,1.07,2.14,0,0,0,0,0,0,0,0,0,69.54,3.21,0,3.21,0,8.56,0,0,0,0,0
21Day,0,1.34,0,0,0,0,0,1.34,0,4.02,0,0,0,72.28,5.35,0,2.68,1.34,6.69,1.34,0,0,0,0
3Month,0,0.32,0,0,0,0.32,1.6,2.88,2.88,0,0.96,0,0.32,15.36,3.84,0,0,0,0,0,0,0.32,0.32,0
22Month,0,0.55,0,0,0.55,0,2.19,5.47,1.09,1.09,0.55,0,0.55,30.07,4.37,0.55,0,0,0,0,0.55,0,0,0.55
