stage,Cardiomyocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Neural_progenitor_cell,Spermatocyte
72hpf,0,0,0,0,0,1.07,0
21Day,1.34,0,0,0,0,0,0
3Month,0,0,0.64,0,0.32,0,0.64
22Month,0,0.55,1.09,0.55,0,0,0
