stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Spermatocyte
24hpf,204.32,0,0,0,0,4.09,0,0,0,0,4.09,8.17,0,16.35,4.09,0,0,0,0,0
72hpf,92,0,2.14,0,0,0,0,0,2.14,1.07,0,1.07,6.42,1.07,1.07,0,0,0,0,0
21Day,95.04,1.34,1.34,1.34,0,0,0,0,0,1.34,0,2.68,4.02,0,0,1.34,0,2.68,2.68,0
3Month,0.96,0.64,0,0,0,0,0.32,0.64,0,0,0.64,0,0,0,0,0,3.2,0,0,11.52
22Month,0,0,0,0,0.55,0,0.55,0,0,0,0,0,0.55,0,0,0,0,0,0,0
