stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,1401.64,4.09,0,28.6,0,0,0,0,0,0,0,0,0,0,0,24.52,0,65.38,0,0,0,0,12.26,118.51,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,2056.14,4.28,0,29.95,1.07,21.4,2.14,0,0,0,0,0,0,0,6.42,50.28,0,56.7,0,1.07,2.14,0,109.12,43.86,1.07,2.14,41.72,2.14,0,7.49,0,2.14,5.35,0,0
21Day,1955.6,8.03,0,155.27,1.34,37.48,4.02,1.34,1.34,0,8.03,0,10.71,5.35,2.68,112.44,9.37,109.76,0,0,14.72,0,53.54,28.11,4.02,1.34,48.19,18.74,0,2.68,4.02,18.74,5.35,2.68,6.69
3Month,17.6,0.64,0,8,0,0,0,0.32,0.96,0.32,1.28,0,0.32,1.6,0,4.48,0.64,4.48,0.96,0,0.32,0.64,0,0,0,1.6,0.32,0,0.32,0,0,0,0,1.28,0.64
22Month,11.48,0,0.55,7.65,0,0,0,1.64,2.19,0.55,4.37,0.55,0,2.73,0,4.37,1.09,2.73,0,0.55,1.64,0,0,0,0,1.64,0,0,0.55,0,0,0,0,1.09,0
