stage,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,1.07,0,0,0,145.49,6.42,0,2.14,4.28,0,0,5.35,0,1.07,0,0
21Day,2.68,4.02,1.34,0,1.34,0,0,1.34,0,1.34,1.34,76.3,1.34,0,0,4.02,6.69,0,0,0,0,0,1.34
3Month,0.32,0,0,0.32,0,0,0.32,0,0,0.32,0,0,0,0,0,0,0,0.32,0,0,0,0.32,0
22Month,0.55,0,0.55,10.93,0.55,0.55,0,0,1.64,0,0,0,0,1.64,0,0,0,1.09,0.55,0.55,0,0,0
