stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,380.04,0,0,8.17,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,2.14,0,0,0,0,0,0,0,0,0,57.77,2.14,0,0,0,0,0,1.07,6.42,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,2.68,0,0,0,0,0,0,0,0,0,32.12,0,0,1.34,0,0,0,0,1.34,0,0,0,0,0,1.34,0,0,0,0,0
3Month,0.64,2.24,33.59,0.32,0.96,0.32,2.24,5.44,0.32,21.76,8,0.32,9.92,1095.19,7.36,6.4,8.64,2.24,0,6.72,2.24,1.6,0,0.96,1.92,0,0.64,2.24,7.68,3.52,4.8,13.12,7.04
22Month,0.55,1.09,4.37,0,0.55,0,0,1.09,0.55,28.97,0.55,0,0,102.22,0,0,2.19,0.55,0.55,0,0,0,0,1.09,0,3.83,0,2.19,11.48,0,0,0.55,2.19
