stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oocyte,Retinal_cone_cell,Smooth_muscle_cell,T_cell
21Day,0,0,1.34,0,0,0,0,0,0,0,0,0,0,2.68,0,0,0,0,0,0,1.34,0,0
3Month,0,0,2.56,0,0.32,0,4.16,0.96,0.32,2.56,0.32,0.32,0,0,0,0,0.32,0,0.32,0,0,0,0
22Month,0.55,1.09,6.56,0.55,0,1.64,13.67,3.28,0.55,16.95,0,1.09,2.73,1.09,0.55,0.55,0.55,0.55,1.64,0.55,0,0.55,0.55
