stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,0,20.43,4.09,0,0,0,0,0,4.09,4.09,4.09,0,0,0,0,0,0,179.8,28.6,0,0,0,0,171.63,4.09,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,8.56,1.07,5.35,1.07,10.7,0,0,0,0,44.93,0,0,0,0,1.07,0,4.28,9.63,1.07,13.91,0,0,0,39.58,53.49,0,0,0,21.4,1.07,0,5.35,0,0,2.14,0,0,0
21Day,13.39,2.68,20.08,2.68,37.48,0,9.37,0,0,203.46,0,0,2.68,0,58.9,1.34,2.68,4.02,12.05,50.86,0,6.69,0,16.06,33.46,0,2.68,0,24.09,8.03,0,6.69,1.34,4.02,1.34,0,0,6.69
3Month,0.64,3.2,21.76,0,0,3.52,0,0.64,3.2,741.32,0.32,0,25.6,7.04,1.6,6.72,1.92,8,13.76,12.48,4.8,2.56,1.92,1.28,1.28,0.64,0.64,0,0.64,4.48,27.2,0.32,0,0,0,4.8,8.96,10.24
22Month,1.09,3.28,7.65,0,0,6.56,0,0,1.09,1146.88,1.09,0,32.25,3.28,3.28,3.28,0.55,0.55,7.65,14.76,0.55,0.55,0.55,0.55,0,2.19,3.28,1.64,0,2.19,6.56,3.83,0.55,0,0,0,0,4.92
