stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,8.17,0,0,0,0,0,0,12.26,0,4.09,12.26,0,0,0,69.47,0,0,0,0,0,0,0,0
72hpf,0,2.14,1.07,0,0,0,0,0,1.07,1.07,0,0,0,0,3.21,0,0,0,1.07,0,0,0,1.07,0
21Day,0,0,0,0,0,0,0,0,0,2.68,0,0,0,0,1.34,0,0,0,2.68,0,2.68,1.34,0,0
3Month,0.32,1.28,0,0.64,0.64,8.32,0.96,0.32,0.32,0,0.32,0,0.32,0.32,0,0,0.64,0,0,0.32,15.68,0,0,3.2
22Month,0,0,0,0,0.55,2.73,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,16.4,0,0,0
