stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,24.52,0,0,0,0,8.17,359.6,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,10.7,3.21,3.21,4.28,4.28,0,0,0,1.07,0,0,0,0,1.07,6.42,0,6.42,0,0,2.14,0,531.69,151.91,0,1.07,5.35,0,0,38.51,0,0,1.07,0,0,0
21Day,2.68,1.34,4.02,2.68,4.02,0,0,0,0,0,0,1.34,1.34,0,5.35,0,17.4,0,0,2.68,0,127.16,62.91,2.68,0,0,6.69,1.34,8.03,2.68,2.68,1.34,0,0,2.68
3Month,0,0.64,3.52,0,0,0,0.32,0,0,7.04,1.6,0,1.6,0,0.64,0,2.56,0.96,0,0.32,0.96,0.32,0,0,0.32,0,0.32,5.76,0,0,0,0,0.64,13.12,0.96
22Month,0,1.09,4.37,0,0,0.55,1.09,2.73,0,49.75,1.09,2.19,2.73,0,0.55,3.83,5.47,0.55,1.09,0.55,0,0,0,1.64,0.55,0,0,14.76,12.03,0.55,0,0,0.55,0,0.55
