stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,28.6,0,4.09,0,0,0,28.6,0,0,0,8.17,0,16.35,0,0,0,0,0,8.17,0,0,0,0,0,0,0
72hpf,35.3,1.07,2.14,0,0,0,0,0,0,0,7.49,0,1.07,0,0,1.07,0,2.14,2.14,1.07,0,0,0,0,0,0
21Day,14.72,0,1.34,0,0,0,0,0,0,0,0,0,2.68,0,0,0,0,0,1.34,1.34,5.35,2.68,1.34,0,0,0
3Month,136.62,0.64,1.92,0.64,0.64,0,0,5.44,2.24,0.32,0.96,0.64,0.32,1.28,0,0,0.32,0,0,0,0.32,0.96,0,0.32,0.64,0.32
22Month,122.45,0,1.09,1.09,1.64,0.55,0,12.03,0,7.11,0,0,1.09,0,0.55,0,0,0.55,0,0,0,26.24,0,0,0,1.09
