stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,1.07,0,0,1.07,4.28,4.28,0,0,0,0,0,0,0
21Day,1.34,0,2.68,1.34,0,0,0,0,1.34,0,1.34,1.34,4.02,0,1.34,1.34,0,0,0,0
3Month,0,0.64,1.28,0,0.32,2.56,0.32,0.32,0.96,0.64,0.64,0,0,0.32,0,0,0.64,0.64,0.64,1.28
22Month,0,0,0,0,0,0.55,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0
