stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,1.07,0,0,0,0,0,0,0,0
3Month,0,0.32,63.67,0,0.32,0,1.6,0,0.64,1.92,0.96,0.32,0,0.64,0.32,0,0,0,0,1.28,0.32,0,0.96,1.6
22Month,0.55,0.55,86.37,2.19,2.73,0.55,12.03,0.55,1.09,1.09,0,4.92,1.64,0.55,0,0,0.55,1.09,1.09,0,0,0.55,0,0
