stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,1.07,1.07,0,1.07,0,0,2.14,1.07,1.07,0,0,0
21Day,0,4.02,0,0,0,0,1.34,0,0,1.34,0,1.34,0,0,0,1.34,0
3Month,0,0.96,0.32,4.48,0.32,0,0.32,0.64,0.64,0,0.32,0.32,0,0,6.08,0,4.48
22Month,0,0,0,6.01,0,0,0,0,0,0,0,0,0,0,6.56,0,0
