stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,4.09,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,1.07,0,0,1.07,0,79.16,5.35,0,0,0,0
21Day,1.34,0,0,0,0,0,0,0,0,2.68,1.34,0,2.68,0,1.34,0,1.34,65.59,0,1.34,1.34,1.34,0
3Month,0,0,1.28,0,0,0,0,3.52,0.32,0,1.28,0,0.32,0.32,0.64,0,0,0,0,0.32,0,0,0.64
22Month,0,0.55,0.55,0,0.55,0.55,0.55,7.65,0.55,0,2.19,0,0,0,2.19,0.55,0,0.55,0,0,0,0,1.09
