stage,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Neurosecretory_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,1.07,0,0,0
3Month,0,0,0,0.64,0,0,0,0.32,0.32,0.32
22Month,0.55,0.55,0,2.19,0.55,0.55,4.37,0,0,0.55
