stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,4.09,4.09,0,0,0,0,0,0,0,0,0,0,44.95,4.09,0,4.09,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,1.07,0,0,0,0,0,1.07,8.56,2.14,0,0,0,0,27.81,11.77,1.07,0,0,3.21,1.07,0,0,0,0,0,0,0
21Day,1.34,2.68,1.34,0,13.39,0,4.02,0,0,12.05,0,0,0,16.06,5.35,0,0,0,0,17.4,6.69,0,0,0,6.69,2.68,0,0,2.68,0,0,0,12.05
3Month,2.56,8.32,0,0.64,1.92,1.28,61.75,9.92,49.59,4.48,3.84,0.64,2.56,44.79,3.84,0.32,0,0.96,0.96,0.96,0,0.32,0.64,0,0,2.56,0.32,8,0.32,0,18.24,1.92,21.12
22Month,4.92,6.01,0,2.73,1.09,1.64,125.18,17.49,32.8,4.37,2.73,0.55,0.55,91.29,3.28,0,1.09,1.09,0,0,0.55,2.19,0,0.55,0,0.55,0,3.28,0,0.55,1.09,0,14.21
