stage,Granulocyte,Hepatocyte,Immune_cell,Macrophage,Mesenchymal_cell
72hpf,0,0,0,3.21,0
21Day,1.34,0,0,1.34,1.34
3Month,0,0,0.64,0.32,0
22Month,0.55,1.09,0,7.11,0
