stage,Cardiomyocyte,Endothelial.cell,Epithelial.cell,Epithelial.cell..Brain.,Erythrocyte,Erythroid.progenitor.cell,Goblet.cell,Granulocyte,Hatching.gland,Hepatocyte,Immune.cell,Intestinal.bulb.cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal.cell,Mt.rich.cell,Muscle.cell,Neural.cell,Neural.progenitor.cell,Osteoblast,Pancreatic.cell,Primordial.germ.cell,Radial.glia,Retinal.cone.cell,Retinal.pigment.epithelial.cell,Spermatocyte,T.cell
24hpf,4.08640457285017,4.08640457285017,12.2592137185505,0,0,0,0,0,49.0368548742021,0,0,0,12.2592137185505,16.3456182914007,8.17280914570035,20.4320228642509,0,0,8.17280914570035,163.456182914007,8.17280914570035,0,0,0,0,4.08640457285017,0,0
72hpf,1.06979114146608,0,1.06979114146608,1.06979114146608,3.20937342439823,0,0,0,0,0,0,0,0,3.20937342439823,0,2.13958228293216,0,0,12.8374936975929,18.1864494049233,2.13958228293216,0,0,1.06979114146608,0,1.06979114146608,0,0
21Day,1.33853308820331,0,5.35413235281323,0,38.8174595578959,13.3853308820331,0,0,0,1.33853308820331,0,0,0,1.33853308820331,2.67706617640661,0,0,1.33853308820331,5.35413235281323,16.0623970584397,0,5.35413235281323,0,0,1.33853308820331,1.33853308820331,0,1.33853308820331
3Month,0,0,0.639898599108391,0,0,0,0.319949299554195,0.319949299554195,0,22.3964509687937,0.319949299554195,1.59974649777098,0.319949299554195,0.319949299554195,0.319949299554195,1.27979719821678,0,0,0,0.639898599108391,0,1.27979719821678,4.47929019375874,0,0,0,0.639898599108391,0.639898599108391
22Month,0,0,0.546654651197433,0,0,0,0,1.09330930239487,0,10.9330930239487,0,2.73327325598717,0.546654651197433,0,0,0,0.546654651197433,0.546654651197433,0.546654651197433,0,0,0,1.09330930239487,0,0,0,0,0
