stage,Hepatocyte,Intestinal_bulb_cell,Mt_rich_cell,Neural_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
72hpf,0,0,0,0,1.07,0,0,0,0
21Day,0,0,0,1.34,0,0,0,0,0
3Month,0.32,0.32,0,0,0,0.32,6.72,0.64,18.56
22Month,0,0,0.55,0,0,0,0,0,0
