stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28,0,0,0,5.35,1.07,0,0,0,1.07,0,0,0,0,0,0
21Day,0,0,0,0,2.68,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0.64,0.32,4.16,0,0.32,0,1.28,7.04,0.32,2.24,0.96,1.28,0.96,0.96,0.32,0.32,0.32,0.32,0,0.64,0.32,0,0,0.96,7.68,0.32,0.32,1.92,0.32
22Month,0,0,0.55,0.55,0,0,0,0.55,6.01,0,0.55,0,0,0,1.09,0,0,0,0,0,0,0,0.55,0,0,0.55,0,0,0,0
