stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Radial_glia,Retinal_cone_cell
24hpf,0,0,0,0,0,0,0,4.09,24.52,0,4.09,0,0
72hpf,1.07,0,0,0,2.14,0,0,136.93,8.56,1.07,0,0,0
21Day,1.34,1.34,8.03,1.34,1.34,0,5.35,85.67,4.02,0,0,1.34,2.68
3Month,0,0,0,0.32,0,0.32,0,0.32,0,0,0,0,0
