stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,228.84,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,829.09,3.21,2.14,2.14,1.07,0,0,0,0,0,0,0,0,0,2.14,2.14,0,3.21,0,0,0,16.05,11.77,0,0,6.42,0,0,1.07,0,0,1.07,0,0,0
21Day,417.62,0,2.68,0,4.02,0,0,0,0,0,2.68,0,0,0,0,0,4.02,8.03,0,0,4.02,1.34,4.02,0,1.34,2.68,4.02,0,0,2.68,1.34,0,0,0,0
3Month,19.52,3.2,2.88,0,0,0,0.64,0.64,0.64,0.32,4.16,0.32,0.32,0.64,0.32,0,0.32,1.28,0.96,0,1.28,0,0,0,0,0.32,0,7.68,0.32,0,0,0,0.64,2.56,0
22Month,2.73,1.09,2.73,0,0,0.55,0,0.55,1.64,0.55,31.16,1.09,1.09,4.37,0.55,1.09,1.64,2.73,0.55,1.09,0.55,0.55,0,0.55,0,0,0,3.28,0,0,0,0,0,0,1.09
