stage,Endothelial_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia
24hpf,8.17,0,0,8.17,0,0,0,69.47,4.09,0
72hpf,0,0,0,0,0,1.07,1.07,2.14,0,1.07
21Day,0,0,0,1.34,1.34,0,0,0,0,0
22Month,0,1.09,0.55,0,0,0,0,0,0,0
