stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,20.43,0,0,0,0,0,0,93.99,0,0,0,0,4.09,8.17,0,0,0,0,0,4.09,4.09,24.52,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,7.49,0,6.42,0,0,0,0,0,0,0,0,0,0,0,6.42,4.28,0,4.28,0,0,0,0,1.07,5.35,0,0,3.21,0,0,0,0,0,0,0,0
21Day,0,6.69,0,45.51,0,0,0,4.02,0,0,0,0,0,1.34,0,1.34,10.71,4.02,2.68,0,0,0,0,5.35,0,5.35,0,1.34,4.02,0,1.34,0,0,0,0,0
3Month,0.32,14.72,1.6,255.32,0.96,0.64,0.32,115.5,3.84,0,0,23.04,6.72,0.32,21.44,16,11.52,15.04,18.24,2.56,0.96,6.72,5.12,2.24,0,15.36,0.64,0,2.56,0.32,14.08,0.64,0.32,4.8,10.24,2.24
22Month,1.09,7.11,3.28,82,0.55,0,0,33.89,2.19,1.64,0,44.83,0.55,0,13.67,2.73,1.09,3.83,13.12,0.55,0,3.28,0,0,0,12.57,1.09,0.55,0,0,3.28,0,0.55,0.55,0,0
