stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,8.17,0,0,4.09,28.6,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,2.14,1.07,0,0,0,0,0,0,0,2.14,2.14,0,0,0,109.12,22.47,0,0,3.21,0,0,5.35,0,0,0
21Day,1.34,2.68,4.02,0,1.34,0,0,0,0,2.68,1.34,0,1.34,6.69,6.69,2.68,0,46.85,12.05,1.34,0,1.34,2.68,0,1.34,0,0,0
3Month,0,0.32,2.56,0,0,0.32,0.32,5.44,1.92,0.32,0.32,0.64,0,0.32,1.6,0.32,0.32,2.88,0.64,0.64,0.32,0,0,5.76,0.32,0.64,8.32,0.32
22Month,0,0,1.64,0,0,0,0,12.57,0.55,1.64,0,0,0,0,1.64,1.09,0,2.73,0,1.64,0,0,0,1.09,2.73,0,0,0
