stage,Cardiomyocyte,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,8.17,4.09,36.78,0,0,0
72hpf,1.07,1.07,1.07,1.07,21.4,1.07,1.07,0,1.07
21Day,1.34,0,0,0,0,0,0,1.34,0
