stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,20.43,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0,21.4,5.35,0,0,1.07,0,0,1.07,0,0,0,0
21Day,1.34,0,0,6.69,0,2.68,0,5.35,0,0,0,0,1.34,4.02,1.34,0,1.34,1.34,4.02,0,0,1.34,0,16.06,2.68,0,0,1.34,1.34,0,0,0,2.68,0,2.68
3Month,0,0.32,0.64,9.92,0,0,0.32,0,0.32,4.8,0,21.44,11.52,1.28,4.16,0,1.28,1.28,4.48,1.28,0.32,3.52,0.96,0.96,0,0,0,0,1.6,0.64,0.32,0,0,0.64,8
22Month,0,1.64,1.09,7.11,0.55,0,0.55,0,0,2.19,1.09,43.73,1.09,2.73,0.55,1.09,0,1.64,2.73,0,4.92,1.09,0,1.64,0,0.55,3.28,0,0,2.73,0.55,2.19,0,0.55,2.19
