stage,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0,1.07,0,0,0,0,0,1.07,0,1.07,0,62.05,0,0,0
21Day,1.34,0,0,0,0,2.68,0,1.34,1.34,1.34,0,44.17,0,0,0
3Month,0,0,0.96,2.24,0.64,0,0.32,0.64,0.32,0,0,2.88,0.32,2.24,0
22Month,0,0,0,5.47,0,0,0,0,0.55,0,0.55,0,0,0,0.55
