stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,4.09,0,0,12.26,0,0,0,4.09,0,0,0,0,8.17,0,8.17,20.43,0,0,0,16.35,208.41,0,4.09,0,0,0,0,0,4.09,0
72hpf,3.21,1.07,0,9.63,1.07,0,0,0,0,0,0,0,3.21,5.35,0,9.63,2.14,1.07,0,86.65,35.3,1.07,14.98,0,0,3.21,0,1.07,0,0
21Day,4.02,0,0,2.68,0,1.34,0,0,1.34,0,2.68,0,1.34,2.68,0,2.68,0,0,0,20.08,12.05,0,0,1.34,0,2.68,2.68,0,0,0
3Month,0,0.32,0.32,2.24,0,0,0.32,0,0.96,0.32,0,0,0,0,0.32,0.32,0,0,0.64,0,0,0,0,0,0.96,0,0,0,0,0.64
22Month,0,0.55,0,0.55,0,0,0,0,7.65,0,0.55,2.19,0,0.55,0,1.64,0,0,0,0,0,0,0,0,2.19,1.09,0,0,0,0
