stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12.26,24.52,0,40.86,4.09,0,0,0,0,0,0,0,0,0,0,8.17,4.09,1503.8,0,0,0,0,216.58,0,0,584.36,0,0,0,0,0,4.09,0,0,0
72hpf,16.05,8.56,0,8.56,1.07,16.05,0,0,0,0,0,0,0,0,2.14,19.26,1.07,1163.93,1.07,0,4.28,77.02,38.51,1.07,1.07,1015.23,0,0,11.77,0,1.07,9.63,0,0,0
21Day,8.03,0,1.34,13.39,0,16.06,0,2.68,0,0,0,0,1.34,1.34,2.68,6.69,4.02,824.54,0,0,1.34,14.72,5.35,0,0,437.7,10.71,0,1.34,1.34,5.35,1.34,0,0,0
3Month,0,1.6,0,8.96,0,0,1.28,0,39.67,2.24,6.08,0.32,0,3.2,1.28,0.64,2.24,159.33,32.95,0,6.4,0.32,0,0.96,0,0.96,0.32,1.28,0,0,0,0.64,0.96,3.52,0.96
22Month,0,0.55,0,4.37,0,0,0,0,4.37,2.19,20.77,0.55,0.55,1.64,0,0,2.73,82,3.83,0.55,2.19,0,0,0,0.55,0,0.55,2.73,0,0,0,0,0,0,0.55
