stage,Epithelial_cell,Erythrocyte__Liver_,Fibroblast,Granulosa_cell,Hepatocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Osteoblast
24hpf,0,0,0,0,0,0,4.09,0,0
72hpf,0,0,0,0,0,2.14,1.07,1.07,2.14
21Day,0,0,0,0,0,0,1.34,0,1.34
3Month,0.64,0,0.32,0,0,0,0,0,0
22Month,0,0.55,0,0.55,2.73,0.55,0,0,0
