stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,1.07,0,0,0,0,0,0,0,5.35,0,0,0,0,2.14,1.07,0,0,0,0
21Day,1.34,0,0,5.35,0,1.34,0,0,0,4.02,0,1.34,0,0,0,0,1.34,1.34,1.34,1.34,0,1.34
3Month,0,0.32,0.32,4.8,0.64,0.32,0.64,1.92,0.96,0,1.6,0.96,1.6,0.96,0.64,0.32,0.64,0,0,0,0.64,2.88
22Month,0,0.55,0,1.64,0,0,0.55,1.64,0,0.55,0,0,0.55,0,0,0,0,0,0,0,0,0.55
