stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,17.28,88.95,383.62,1170.05,8.32,67.19,14.08,7.04,258.2,348.42,5.76,57273.8,645.02,49.91,1514.64,167.01,423.93,177.57,787.72,198.69,55.35,213.09,102.06,67.83,8.96,79.67,163.49,62.71,436.09,0.96,195.81,57.91,0.96,0.64,7.04,117.1,59.19,295.95
22Month,15.31,21.32,29.52,84.18,1.09,74.35,1.64,0,29.52,76.53,1.64,27460.65,13.67,5.47,246.54,4.37,18.59,83.09,162.36,9.29,645.6,26.24,0,9.29,2.19,19.68,31.16,8.75,80.9,0,38.81,25.69,1.09,0,0.55,2.19,0.55,24.6
