stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,0,0,7.49,1.07,10.7,0,1.07,0,1.07,0,0,0,0,0
21Day,0,4.02,2.68,0,0,0,0,0,5.35,0,1.34,4.02,4.02,6.69,2.68,1.34,0,4.02,0,1.34,0,0,14.72
3Month,0.32,2.24,0,0.32,0.32,0,0.32,1.92,0.64,0,0,0.96,1.92,5.12,0,0,0,0,0.32,1.28,0.64,0.32,3.2
22Month,2.73,2.73,0,0,1.64,1.09,8.75,8.75,0,1.09,0,0,29.52,6.01,0.55,0,0.55,0,0.55,0,0,0,2.73
