stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,28.6,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,2.14,3.21,0,1.07,0,0
21Day,1.34,0,0,5.35,2.68,0,0,0,0,0,0,0,0,0,0,0,1.34,1.34,0,0,0,0
3Month,0,0,0.32,2.56,0,0.32,0.96,0.64,0.64,0.96,0.32,1.28,0.32,0,0.32,0.64,0,0,0.64,0,0.32,0.64
22Month,0,0.55,0,0,0,0,3.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55
