stage,Epithelial_cell,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Oocyte,Osteoblast
24hpf,0,0,0,4.09,16.35,36.78,0,0
72hpf,0,0,1.07,0,0,0,0,1.07
22Month,0.55,0.55,0,0.55,0,0,30.61,0
