stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,4.09,0,0
72hpf,0,0,0,0,1.07,0,0,0,0,0,0,0,3.21,1.07,0,0
21Day,1.34,0,1.34,2.68,0,0,0,0,0,0,1.34,0,1.34,1.34,1.34,0
3Month,0,0,0,0,0,0,0.96,0.32,0.32,0,0,0,0,0,0,0.32
22Month,0,0.55,0.55,1.64,0,0.55,7.65,0.55,0,0.55,0.55,0.55,0,0,0,0.55
