stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,4.09,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,269.7,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,3.21,0,0,0,0,0,0,0,0,0,0,2.14,0,3.21,1.07,0,0,215.03,72.75,0,3.21,1.07,1.07,0,7.49,4.28,1.07,2.14,0,0,0
21Day,4.02,0,2.68,1.34,5.35,0,5.35,0,0,0,0,2.68,1.34,2.68,0,2.68,0,1.34,0,89.68,34.8,2.68,5.35,2.68,1.34,2.68,6.69,8.03,6.69,0,0,0,1.34
3Month,0,1.6,4.8,0,0,0.32,1.28,0.64,1.28,152.3,2.24,0.32,3.52,1.28,0.96,0.96,0.32,5.12,0.32,2.24,0.32,3.2,5.44,0,1.28,17.28,2.24,0,0,0.96,0.32,2.24,1.92
22Month,0.55,1.64,2.19,0,0,0.55,0.55,1.09,2.73,123.54,0,1.64,2.19,0,1.09,2.19,3.83,5.47,0,0.55,0,2.19,2.19,0.55,0,4.92,2.19,0,0,0.55,0,0,0
