stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,388.21,24.52,7024.53,0,4.09,0,0,0,8.17,0,0,0,0,12.26,4.09,32.69,641.57,0,0,0,0,36.78,894.92,0,1115.59,0,0,0,4.09,0,0
72hpf,11.77,31.02,867.6,419.36,10.7,0,0,0,0,0,0,0,0,2.14,28.88,1.07,215.03,0,0,28.88,0,43.86,20.33,4.28,49.21,0,0,8.56,0,0,0
21Day,1.34,25.43,58.9,9.37,5.35,0,0,0,0,0,0,1.34,0,1.34,1.34,0,163.3,0,2.68,44.17,0,6.69,8.03,0,10.71,5.35,1.34,2.68,0,0,2.68
3Month,1.6,4.16,6.4,0,0,0,1.92,1.28,0,3.52,1.28,0.32,5.12,0.32,1.6,1.28,60.79,1.92,0,2.24,0.32,0.32,0,0,32.95,0,3.84,0.32,0,0.64,0.32
22Month,0,2.19,2.19,0,0,1.64,0,7.65,0,11.48,0.55,0,1.09,1.09,1.64,2.73,77.62,0.55,0.55,7.65,0,0,0.55,0.55,4.37,0,9.29,0,0,0,1.09
