stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,20.43,0,0,0,0,0,4.09,0,0,0,0,0,20.43,0,16.35,0,0,8.17,114.42,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.56,0,1.07,1.07,0,46,21.4,0,0,6.42,0,0,0,0,0,0
21Day,1.34,0,8.03,1.34,0,2.68,0,1.34,0,0,0,0,0,0,1.34,1.34,12.05,0,2.68,29.45,16.06,0,0,4.02,2.68,1.34,1.34,0,0,1.34
3Month,0,0.96,5.12,0,0.32,0.32,0.32,0.32,0,1.6,0.32,0.32,1.92,0,1.92,0.64,0.96,0,0.32,0,0,0.32,0,0.32,0.32,23.36,0,0.64,4.48,1.28
22Month,0,0,0.55,0,0.55,0,1.09,2.19,0,6.56,0.55,1.09,2.19,0.55,1.09,2.73,2.73,0,0,0,0.55,0.55,0.55,0,0,1.64,0,0,0,0
