stage,Epithelial_cell,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell
72hpf,0,0,0,0,27.81,1.07
21Day,0,0,0,2.68,25.43,0
3Month,0,0,0,0.32,0.64,0
22Month,2.19,0.55,0.55,0,1.09,0
