stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,T_cell
72hpf,1.07,0,0,0,0,0,1.07,1.07,1.07,0,0,7.49,1.07,2.14,0,0,1.07,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0
3Month,0,0.64,2.56,0.32,0.32,0.32,0.32,0,0,0.32,0.64,0,0,0,0,0.96,0,1.28
22Month,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0
