stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,1.34,0,0,0,1.34,0,0,1.34,0,0,0,0,0,0,0,2.68,0,0,0,1.34,0,0,0,0,0
3Month,0.96,2.56,42.55,1.28,1.28,0.64,226.84,1.6,0,24.64,0.96,7.68,0.64,3.52,0.32,1.28,1.28,0.32,0.32,0.64,0,5.12,3.52,0.64,0.96,25.92,1.6
22Month,0.55,1.09,7.11,0.55,0.55,0,362.43,0,1.09,16.4,0,2.19,0.55,1.64,4.37,1.09,0,0,0,1.09,0.55,0.55,2.73,0,0,0,0
