stage,Erythrocyte__Liver_,Hepatocyte,Macrophage,Muscle_cell,Neural_progenitor_cell,Spermatocyte
24hpf,0,0,0,0,4.09,0
72hpf,0,0,0,2.14,0,0
21Day,0,0,0,1.34,0,0
3Month,0.32,0,0,0,0,0.32
22Month,0,1.09,0.55,0,0,0
