stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Radial_glia,Retinal_pigment_epithelial_cell
72hpf,0,0,0,0,0,0,0,0,0,5.35,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,2.68,2.68,0,1.34,1.34
3Month,0,0.64,0,2.24,0.64,0.32,0,0.32,0.32,0,0,0.32,0,0
22Month,0.55,1.64,0.55,3.83,0,0,0.55,0,0,0,0,0,0,0
