stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,1.07,0,0,0,0,0,0
3Month,0.32,0.64,1.6,0.32,0.32,1.28,0,2.88,1.28,0.96,0.96,0.64,0.64,0.32,0.32,0,0,0,1.28,0.32,0.32,0,0.32,1.28
22Month,0.55,1.09,4.37,1.09,1.09,2.73,1.64,56.85,1.09,6.56,0,0.55,1.64,3.28,0,0.55,0,0,0,1.09,0,0.55,0,1.64
