stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,0,0,4.09,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,12.26,0,0,0,0,0,49.04,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,2.14,5.35,0,2.14,0,0,0,0,34.23,4.28,0,0,0,5.35,0,1.07,1.07,18.19,13.91,0,0,0,0
21Day,4.02,0,0,4.02,0,0,0,0,0,0,0,0,0,0,0,0,2.68,0,8.03,0,1.34,0,0,8.03,5.35,0,0,0,4.02,1.34,5.35,0,12.05,28.11,0,0,0,0
3Month,0,0,0,20.48,0.32,0.64,0.32,0.96,0.64,0,0,9.6,1.28,0.64,3.52,0.32,5.76,1.92,4.8,0.32,0,0.96,0.96,3.84,0.64,1.92,1.6,0,0.32,1.6,116.78,0.32,0.64,0.32,0.64,0.96,26.88,1.6
22Month,0.55,2.19,1.64,14.21,0.55,0,0,0,0.55,0.55,0,31.16,0.55,1.09,3.28,1.09,3.83,3.28,6.01,0,1.64,0,0.55,2.73,0,2.73,2.19,4.92,0,0,50.84,0,12.03,0,0,0,0,1.09
