stage,Epithelial_cell,Erythrocyte,Immune_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Pancreatic_cell,T_cell
72hpf,0,0,0,0,1.07,0,0,0
21Day,1.34,1.34,0,0,0,0,1.34,1.34
3Month,0,0,0.32,0.32,0.32,2.24,0,0
