stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,4.09,12.26,4.09,44.95,0,0,0,0,0,0,0,0
72hpf,2.14,0,2.14,0,0,0,0,0,0,1.07,2.14,1.07,0,0,1.07,0,0,0,0,0
21Day,0,0,0,0,1.34,0,1.34,0,0,0,0,0,0,4.02,1.34,1.34,0,1.34,0,0
3Month,0,0.96,0,0,0.32,0.32,0.96,0.32,0,0.64,0.32,0.32,0.64,6.72,0,0.32,8.96,0.32,0.64,0.32
22Month,0,0,0,0.55,2.19,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0
