stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,2.14,3.21,0,5.35,0,0,2.14,0,0,0
21Day,1.34,0,0,1.34,0,0,0,0,0,0,0,0,0,0,4.02,0,0,6.69,0,0,29.45,0,0,1.34,2.68,0,0
3Month,0,0,1.28,0,0,0.32,0.64,0,0.96,0.64,0,1.28,0.32,0.32,0.96,0,0,0,0,0,9.6,0.64,2.56,0.64,0,0.96,0.32
22Month,0,0.55,1.09,0,0,1.09,2.19,0.55,14.21,1.64,0.55,2.19,0.55,0,1.09,0.55,0.55,0.55,0,0.55,12.03,0,1.09,0,0,0,0
