stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,28.6,0,4.09,0,0,0,0,0,0,0,8.17,4.09,8.17,4.09,0,0,4.09,57.21,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,2.14,0,0,0,0,0,0,0,0,0,0,3.21,1.07,3.21,0,0,16.05,16.05,0,0,2.14,1.07,3.21,0,0,0,0
21Day,0,0,1.34,1.34,0,0,2.68,0,0,0,0,0,0,1.34,1.34,1.34,0,0,4.02,2.68,0,0,0,0,0,1.34,0,0,1.34
3Month,0,0.32,4.16,0.32,0,0.64,3.52,0,1.28,2.56,0,1.6,0.64,1.6,1.28,0.96,0.64,0.32,0,0,0.64,0.32,0,26.24,0,0,0.96,14.4,1.28
22Month,0,0.55,0,0,0,0,2.73,0.55,2.73,0.55,0.55,0,0,0,0.55,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0
