stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,2.14,0,0,0,0,0,0,0,0,1.07,3.21,0,3.21,0,0,0,0,3.21,1.07,1.07,0,0,0,0,2.14,0,0,0
21Day,0,0,0,8.03,0,0,0,0,0,0,0,1.34,0,0,2.68,5.35,1.34,0,0,0,0,1.34,1.34,0,0,1.34,0,0,0,0,0,0
3Month,0.64,2.24,1.6,42.87,0,0.64,3.2,10.88,0,38.07,7.36,0.96,12.48,2.56,8,33.27,7.36,1.92,0,4.16,2.24,0.32,0,1.92,0.32,1.28,2.24,2.56,0,2.56,0.96,9.6
22Month,0,0,2.73,6.01,0,0,1.64,3.83,9.29,48.65,0.55,0,14.21,0,0.55,6.01,3.28,0,1.09,0.55,0.55,0,0,2.19,0.55,0,0.55,2.19,0.55,0,0,1.09
