stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,12.26,4.09,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,11.77,2.14,1.07,0,0,0,0,0,0,0,1.07,0,6.42,75.96,0,0,0,0,0,0,18.19,6.42,0,0,0,2.14,0,0,1.07,0,0,0
21Day,1.34,4.02,175.35,5.35,4.02,0,1.34,0,1.34,0,2.68,0,14.72,22.76,28.11,66.93,30.79,6.69,0,0,0,0,29.45,13.39,9.37,0,0,1.34,5.35,1.34,2.68,0,0,14.72
3Month,0.96,2.24,84.79,0.96,0,0.96,0.32,16.64,13.44,0,24.64,9.92,1.28,69.11,10.88,25.28,13.44,3.84,0.32,0.32,8.32,6.08,9.92,0.32,6.4,0.64,0,0.32,2.88,9.28,0,3.2,3.84,28.16
22Month,7.11,2.19,39.91,0,0,0,0,6.01,9.84,2.73,31.16,4.37,1.64,45.37,2.19,9.84,12.03,4.37,0,1.64,9.84,1.09,1.64,0.55,9.29,0,0.55,0.55,0,7.65,0,1.64,0,10.39
