stage,Epithelial_cell,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell
21Day,1.34,0,0,0,0
3Month,0.32,3.52,0.32,0,0.32
22Month,0,2.73,0,0.55,0
