stage,Epithelial_cell,Granulocyte,Hepatocyte,Macrophage,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia
24hpf,0,0,0,4.09,0,0,4.09,0,0,0,0
72hpf,0,0,0,0,0,5.35,1.07,0,0,0,1.07
21Day,0,0,0,0,0,0,4.02,0,0,0,0
3Month,0.96,0,0.32,0,0.32,0,0,0,0.32,1.92,0
22Month,0,0.55,0.55,0,0,0,0,0.55,0,3.28,0
