stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,8.17,44.95,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,0,1.07,1.07,0,0,0,0,0,0,0,0,0,3.21,3.21,1.07,1.07,0,1.07,0,0,16.05,10.7,0,1.07,0,0,0,0,0,0
21Day,0,0,0,5.35,1.34,1.34,0,0,0,0,0,1.34,0,0,1.34,0,4.02,1.34,0,0,0,0,1.34,2.68,2.68,0,0,0,2.68,1.34,0,0,0
3Month,0,0,0.32,5.44,0,0,0,0.32,0.32,1.28,0,9.92,0.96,0,4.48,1.28,1.6,1.6,1.6,0.64,0,0.96,0.64,0,0,0.32,0.32,5.76,0,0,0.64,1.28,2.24
22Month,0,0.55,1.64,2.19,0,0,0.55,0,1.64,3.28,1.64,30.61,1.09,1.09,1.64,0,0,4.92,6.56,0,0,1.09,0,0,0.55,0,0,0.55,1.09,0,0,0,1.09
