stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,32.69,0,0,0,0,0,0,0,16.35,8.17,0,0,0,12.26,0,0,0,0,0,0,0,0
72hpf,1.07,6.42,0,3.21,0,0,0,0,0,21.4,6.42,1.07,0,4.28,4.28,2.14,0,0,0,0,0,0,0
21Day,16.06,13.39,1.34,0,0,0,14.72,1.34,0,4.02,4.02,0,0,6.69,1.34,21.42,1.34,0,0,2.68,0,0,0
3Month,0,12.48,0,0,0.64,0.96,1.92,0,0.96,5.76,8.96,0,0.32,2.56,0,0,0,0.64,0.32,0,0.32,0.32,0.32
22Month,0,1.64,0,0,0,0,1.64,0,0,1.09,6.56,0,0,0,0,0,0,0,0,0,0,0,0.55
