stage,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0
72hpf,1.07,2.14,0,0,0,2.14,5.35,1.07,3.21,3.21,4.28,1.07,1.07,2.14,0,0
21Day,2.68,1.34,1.34,0,0,0,0,10.71,2.68,2.68,1.34,0,0,0,1.34,1.34
3Month,0.64,0,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0
22Month,1.64,0,0,9.84,0.55,0,0,8.2,5.47,0,0,0,0,0,0,0
