stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,8.17,0,32.69,0,0,0,0,0,0,0,0,0,0,102.16,102.16,0,0,0,0,0,53.12,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,5.35,4.28,6.42,0,0,0,0,0,0,0,1.07,6.42,75.96,6.42,0,0,0,84.51,16.05,3.21,1.07,0,4.28,0,1.07,12.84,0,0,0,0
21Day,0,0,0,12.05,1.34,9.37,0,0,0,0,0,0,0,0,1.34,9.37,6.69,0,1.34,0,56.22,5.35,5.35,2.68,0,6.69,1.34,0,12.05,1.34,0,0,0
3Month,0,0.96,0.32,7.68,0.32,0,0.32,0.32,1.28,10.88,1.92,0,1.92,0.96,1.6,5.44,2.88,0.96,0.64,0.64,0.96,0,7.36,0.32,0,0,1.28,22.08,0.32,0,2.24,480.24,2.24
22Month,0,0,0,2.73,0,0,0,0,0.55,8.2,0,0.55,0.55,0.55,0,1.64,0.55,0,0,0,0,0,1.64,0,1.09,0,0,2.19,0,0,0,2.73,0
