stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,5.35,0,0,0,0,0,2.14,0,0,0,0,1.07,1.07,0,0,0,0,0,0
21Day,0,2.68,6.69,0,0,0,0,0,1.34,0,1.34,0,0,1.34,1.34,0,0,0,0,0,0
3Month,0.32,34.55,3.2,0.64,3.52,0.96,1.28,2.56,0.32,0.64,0,0.32,0.96,1.92,0,0.64,1.28,0.32,0.64,72.95,0.64
22Month,0,4.92,0.55,0,2.73,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
