stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12.26,4.09,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,4.09,20.43,12.26,0,0,0,0,0,0,0,0,0,0,0
72hpf,13.91,3.21,1.07,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0,3.21,5.35,2.14,0,0,0,0,0,0,0,0,0,0,0
21Day,1.34,17.4,2.68,0,1.34,0,0,0,0,1.34,9.37,0,5.35,4.02,0,14.72,0,0,0,0,6.69,0,0,0,1.34,0,0,0,0,4.02,0,0,13.39
3Month,0.96,82.55,0,0.64,0.32,4.16,4.48,0,5.44,4.16,1.28,5.76,72.31,4.16,3.84,19.52,6.4,0,1.28,2.88,2.24,0,1.6,0.32,0.32,1.92,1.6,1.28,0,0,137.9,0.64,38.71
22Month,1.09,60.68,0,2.19,0,0,1.64,0.55,13.12,0,0,1.64,37.17,0.55,2.73,33.89,3.83,0.55,1.09,2.19,2.73,0,1.09,0.55,0,1.09,2.19,6.56,0.55,0,10.93,0,23.51
