stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.19,0,0,0,0,0,0
21Day,0,0,0,0,1.34,0,0,0,0,0,2.68,0,0,0,0,5.35,0,0,66.93,0,0,1.34,0,0,0
3Month,0,0,0,0,0,0,0,0,0,0.64,0,0.32,0.32,0,0,0,0,0,0,0,0,0,0,0,0.32
22Month,0.55,6.01,16.95,0.55,0,0.55,2.19,0.55,0.55,6.56,0,18.04,1.64,3.28,1.09,0,1.09,0.55,0,0.55,0.55,0,0.55,1.64,0
